统计日期,平台,子平台,产品名称,销售数量,销售金额
2026-8-10,京东,京东POP,72℃屋型鲜牛乳(950ml*12盒),78,4231.5
2026-8-10,京东,京东POP,优选鲜牛乳240ml*20,1588,49926.72
2026-8-10,京东,京东POP,优选瓶装鲜牛乳(450ml*12瓶),6,185.58
2026-8-10,京东,京东POP,全脂桶（1*6）,36,1859.76
2026-8-10,京东,京东POP,轻能利乐冠—黄桃+大麦250g,104,5836.48
2026-8-10,京东,京东POP,三元166风味发酵乳182g*30,36,2360.52
2026-8-10,京东,京东POP,72℃鲜牛乳（瓶）900mL,3,87.99
2026-8-10,京东,京东POP,三元乐活（瓶）200mL*20,95,2931.7
2026-8-10,京东,京东POP,三元乐活950mL*12,56,3190.88
2026-8-10,京东,京东POP,三元晚安奶250mL*20,15,1183.2
2026-8-10,京东,京东POP,极致A2鲜奶240*20,137,4379.89
2026-8-10,京东,京东POP,极致A2鲜奶900*6,41,1206.63
2026-8-10,京东,京东POP,极致有机鲜牛奶 900ML,63,2090.97
2026-8-10,京东,京东POP,极致有机鲜牛奶240ML,142,4913.2
2026-8-10,京东,京东POP,三元真的好巧200mL*20,197,16132.33
2026-8-10,京东,京东POP,三元真的好巧450mL*12,24,2488.32
2026-8-10,京东,京东POP,三元芋你鲜活200mL*20,10,338.6
2026-8-10,京东,京东POP,三元芋你鲜活450mL*12,5,193.1
2026-8-10,京东,京东POP,三元青提芝士杯酸130g*24,12,675.24
2026-8-10,京东,京东POP,冰箱贴套装,36,0
2026-8-10,京东,京东POP,北京酸奶原味瓶200g*24,4,227.4
2026-8-10,京东,京东POP,北京酸奶原味杯130g*24,47,1994.68
2026-8-10,京东,京东POP,北京酸奶草莓杯130g*24,3,154.68
2026-8-10,京东,京东POP,北京酸奶酸木瓜杯130g*24,3,160.86
2026-8-10,京东,京东POP,北京酸奶青柠杯130g*24,3,162.72
2026-8-10,京东,京东POP,北京酸奶草莓瓶200g*24,29,2160.5
2026-8-10,京东,京东POP,北京酸奶酸木瓜瓶200g*24,12,910.68
2026-8-10,京东,京东POP,北京酸奶青柠瓶200g*24,6,440.04
2026-8-10,京东,京东POP,大大果块桑葚+蓝莓260g*12,6,172.08
