统计日期,平台,子平台,产品名称,销售数量
2025-08-10,京东,京东自营,72℃屋型鲜牛乳(950ml*12盒),324.0
2025-08-10,京东,京东自营,72℃鲜牛乳（瓶）900mL,384.0
2025-08-10,京东,京东自营,三元乐活(瓶)450mL*12,48.0
2025-08-10,京东,京东自营,三元乐活950mL*12,72.0
2025-08-10,京东,京东自营,三元乐活有机牛乳200mL*20,40.0
2025-08-10,京东,京东自营,三元乐活有机牛乳450mL*12,24.0
2025-08-10,京东,京东自营,三元乐活瓶装高温杀菌乳450mL*6,8.0
2025-08-10,京东,京东自营,三元乐活（瓶）200mL*20,640.0
2025-08-10,京东,京东自营,三元南瓜来了450mL*12,24.0
2025-08-10,京东,京东自营,三元每日新鲜950mL*12,216.0
2025-08-10,京东,京东自营,三元真的好巧200mL*20,20.0
2025-08-10,京东,京东自营,三元真的好巧450mL*12,12.0
2025-08-10,京东,京东自营,三元芋你鲜活200mL*20,20.0
2025-08-10,京东,京东自营,三元芋你鲜活450mL*12,48.0
2025-08-10,京东,京东自营,三元草莓黑米三连杯130g*3*8,8.0
2025-08-10,京东,京东自营,三元莓天鲜活450mL*12,72.0
2025-08-10,京东,京东自营,优选鲜牛乳240ml*20,160.0
2025-08-10,京东,京东自营,全脂桶（1*6）,348.0
2025-08-10,京东,京东自营,天然桶装酸牛奶(1*6),126.0
2025-08-10,京东,京东自营,小康（1*12）,348.0
2025-08-10,京东,京东自营,极致1+1鲜牛奶900mL*6,180.0
2025-08-10,京东,京东自营,极致A2鲜奶240*20,460.0
2025-08-10,京东,京东自营,极致A2鲜奶900*6,1050.0
2025-08-10,京东,京东自营,极致有机鲜牛奶 900ML,1608.0
2025-08-10,京东,京东自营,极致有机鲜牛奶240ML,1480.0
2025-08-10,京东,京东自营,简卡原味桶酸1kg*9,477.0
2025-08-10,京东,京东自营,脱脂桶（1*6）,126.0
2025-08-10,京东,京东自营,袋装天然酸奶(180g*60),600.0
2025-08-10,京东,京东自营,轻能利乐冠DSHB-蓝莓+大麦250g*4,66.0
2025-08-10,京东,京东自营,轻能利乐冠DSHB-黄桃+大麦250g*4,6.0
2025-08-10,京东,京东自营,雪凝原味盒酸800g*12,12.0
2025-08-10,京东,京东自营,雪凝奶皮子酸奶原味800g*12,36.0
2025-08-10,京东,京东自营,雪凝草莓山楂盒酸800g*12,12.0
