统计日期,平台,子平台,产品名称,销售数量
2026-07-30,京东,京东POP,200S极致有机纯牛奶200mL*10,-7.0
2026-07-30,京东,京东POP,250ml方巧(1*24),-3.0
2026-07-30,京东,京东POP,250ml舒释奶（全脂)(1*12),-4.0
2026-07-30,京东,京东POP,三元3.3g方白纯牛奶（250mL*24）,-43.0
2026-07-30,京东,京东POP,三元3.3g方白脱脂无菌砖(250ml*24),-1.0
2026-07-30,京东,京东POP,三元A2纯牛奶DS200ml*10,-8.0
2026-07-30,京东,京东POP,三元北京纯牛奶全脂（250mL*10）,-3.0
2026-07-30,京东,京东POP,小方白卡皮巴拉全脂纯牛奶（200mL*24）,-11.0
2026-07-30,京东,京东POP,极小智有机A2纯牛奶200mL*10,-6.0
2026-07-30,京东,京东POP,极致A2精巧装200ml*10,-2.0
2026-07-30,京东,京东POP,梦幻盖极致A2纯牛奶250ml*12,-1.0
2026-07-30,京东,京东POP,梦幻盖极致有机纯牛奶（250ml*12）,-4.0
2026-07-30,京东,京东自营,200S极致有机纯牛奶200mL*16,-34.0
2026-07-30,京东,京东自营,250ML利乐砖高钙牛奶(1*20),-42.0
2026-07-30,京东,京东自营,250S极致有机纯牛奶250mL*12,-3.0
2026-07-30,京东,京东自营,250ml方巧(1*24),-1461.0
2026-07-30,京东,京东自营,TOB定制小特品枕（227ml*16）,-146.0
2026-07-30,京东,京东自营,TOB定制扁箱小福（1*16）,-552.0
2026-07-30,京东,京东自营,三元3.3g方白纯牛奶（250mL*24）,-1579.0
2026-07-30,京东,京东自营,三元3.3g方白脱脂无菌砖(250ml*24),-166.0
2026-07-30,京东,京东自营,三元北京纯牛奶低脂（250mL*10）,-72.0
2026-07-30,京东,京东自营,三元北京纯牛奶全脂（250mL*10）,-55.0
2026-07-30,京东,京东自营,三元小方白脱脂纯牛奶DSHB(200ml*24),-106.0
2026-07-30,京东,京东自营,三元春节版3.3g方白纯牛奶（250ml*24）,-2.0
2026-07-30,京东,京东自营,三元特品无菌砖纯牛奶(250ml*16）,-72.0
2026-07-30,京东,京东自营,冰岛式酸奶（200g*24）,-82.0
2026-07-30,京东,京东自营,小方白低脂高钙牛奶DSHB（200ml*24）,-184.0
2026-07-30,京东,京东自营,小方白卡皮巴拉全脂纯牛奶（200mL*24）,-223.0
2026-07-30,京东,京东自营,小方白纯牛奶DSHB（200ml*24）,-282.0
2026-07-30,京东,京东自营,小高钙牛奶（扁箱）（227ml*16）,-105.0
2026-07-30,京东,京东自营,常温版极致三代全脂纯牛奶,-51.0
2026-07-30,京东,京东自营,极小智有机A2纯牛奶200mL*10,-43.0
2026-07-30,京东,京东自营,极致4.0高蛋白纯牛奶250mL*24,-88.0
2026-07-30,京东,京东自营,极致A2精巧装16入,-66.0
2026-07-30,京东,京东自营,极致A2精巧装200ml*10,-406.0
2026-07-30,京东,京东自营,极致三代低脂纯牛奶（250ml*12）,-43.0
2026-07-30,京东,京东自营,极致晚安奶250ml*10,-39.0
2026-07-30,京东,京东自营,极致有机A2纯牛奶250mL*10,-1.0
2026-07-30,京东,京东自营,极致有机低脂纯牛奶（200ml*21）,-60.0
2026-07-30,京东,京东自营,极致高品质全脂纯牛奶（250ml*16）,-131.0
2026-07-30,京东,京东自营,梦幻盖极致A2β酪蛋白纯牛奶（250ml*10）,-69.0
2026-07-30,京东,京东自营,梦幻盖极致A2纯牛奶250ml*12,-19.0
2026-07-30,京东,京东自营,梦幻盖极致娟姗纯牛奶（250ml*10）,-86.0
2026-07-30,京东,京东自营,梦幻盖极致有机纯牛奶（250ml*12）,-1490.0
2026-07-30,京东,京东自营,特品纯牛奶DS(250mL*16),-98.0
2026-07-30,京东,京东自营,简卡原味钻酸奶200g*10,-80.0
2026-07-30,京东,京东自营,钻石包极致有机纯牛奶（200ml*21）,-468.0
2026-07-30,拼多多,多多买菜,200S极致有机纯牛奶200mL*10,-3.0
2026-07-30,拼多多,多多买菜,250ML利乐砖高钙牛奶(1*20),-89.0
2026-07-30,拼多多,多多买菜,250ml方巧(1*24),-39.0
2026-07-30,拼多多,多多买菜,三元3.2g小方枕全脂利乐枕-电商(227ml*16),-54.0
2026-07-30,拼多多,多多买菜,三元3.3g方白纯牛奶（250mL*24）,-39.0
2026-07-30,拼多多,多多买菜,三元3.3g方白脱脂无菌砖(250ml*24),-61.0
2026-07-30,拼多多,多多买菜,三元全脂纯牛奶3.0无菌砖(250mL*24),-187.0
2026-07-30,拼多多,多多买菜,冰岛式酸奶（200g*24）,-4.0
2026-07-30,拼多多,多多买菜,小方白卡皮巴拉全脂纯牛奶（200mL*24）,-64.0
2026-07-30,拼多多,多多买菜,小方白卡皮巴拉脱脂纯牛奶（200mL*24）,-21.0
2026-07-30,拼多多,多多买菜,极致A2精巧装200ml*10,-4.0
2026-07-30,拼多多,多多买菜,百利包纯牛奶200ml*16,-13.0
2026-07-30,新零售,新零售,250ml方巧(1*24),-1.0
2026-07-30,新零售,新零售,三元3.2g小方枕全脂利乐枕-电商(227ml*16),-108.0
2026-07-30,新零售,新零售,三元3.3g方白纯牛奶（250mL*24）,-2.0
2026-07-30,新零售,新零售,梦幻盖极致有机纯牛奶（250ml*12）,-6.0
