统计日期,平台,子平台,产品名称,销售数量
2025-07-19,京东,京东自营,250ML利乐砖高钙牛奶(1*20),585.0
2025-07-19,京东,京东自营,250S极致有机纯牛奶250mL*12,34.0
2025-07-19,京东,京东自营,250ml方巧(1*24),415.0
2025-07-19,京东,京东自营,250ml白盒纯牛奶（1*12）,133.0
2025-07-19,京东,京东自营,TOB定制小特品枕（227ml*16）,650.0
2025-07-19,京东,京东自营,TOB定制扁箱小福（1*16）,2700.0
2025-07-19,京东,京东自营,三元3.3g方白脱脂无菌砖(250ml*24),1560.0
2025-07-19,京东,京东自营,三元利乐砖特品纯牛奶DSHB(250ml*24),6580.0
2025-07-19,京东,京东自营,三元特品无菌砖纯牛奶(250ml*16）,820.0
2025-07-19,京东,京东自营,冰岛式酸奶（200g*24）,1690.0
2025-07-19,京东,京东自营,小方白卡皮巴拉低脂高钙牛奶（200mL*24）,880.0
2025-07-19,京东,京东自营,小方白卡皮巴拉全脂纯牛奶（200mL*24）,1300.0
2025-07-19,京东,京东自营,小方白卡皮巴拉脱脂纯牛奶（200mL*24）,530.0
2025-07-19,京东,京东自营,极小智有机A2纯牛奶200mL*10,668.0
2025-07-19,京东,京东自营,极致4.0高蛋白纯牛奶250mL*24,436.0
2025-07-19,京东,京东自营,极致A2精巧装16入,355.0
2025-07-19,京东,京东自营,极致A2精巧装200ml*10,300.0
2025-07-19,京东,京东自营,极致三代低脂纯牛奶（250ml*12）,156.0
2025-07-19,京东,京东自营,极致晚安奶250ml*10,59.0
2025-07-19,京东,京东自营,极致有机A2纯牛奶250mL*10,55.0
2025-07-19,京东,京东自营,极致有机低脂纯牛奶（200ml*21）,400.0
2025-07-19,京东,京东自营,梦幻盖极致1+1原生双蛋白牛奶,28.0
2025-07-19,京东,京东自营,梦幻盖极致A2β酪蛋白纯牛奶（250ml*10）,95.0
2025-07-19,京东,京东自营,梦幻盖极致A2纯牛奶250ml*12,20.0
2025-07-19,京东,京东自营,梦幻盖极致娟姗纯牛奶（250ml*10）,637.0
2025-07-19,京东,京东自营,梦幻盖极致有机纯牛奶（250ml*12）,40.0
2025-07-19,京东,京东自营,简卡原味钻酸奶200g*10,48.0
2025-07-19,京东,京东自营,钻石包极致有机纯牛奶（200ml*21）,430.0
2025-07-19,天猫,猫超,250ML利乐砖高钙牛奶(1*20),20.0
2025-07-19,天猫,猫超,250S极致娟姗纯牛奶250mL*12,18.0
2025-07-19,天猫,猫超,250S极致有机纯牛奶250mL*12,16.0
2025-07-19,天猫,猫超,TOB定制小特品枕（227ml*16）,110.0
2025-07-19,天猫,猫超,三元特品无菌砖纯牛奶(250ml*16）,580.0
2025-07-19,天猫,猫超,小方白卡皮巴拉全脂纯牛奶（200mL*24）,835.0
2025-07-19,天猫,猫超,小方白卡皮巴拉脱脂纯牛奶（200mL*24）,145.0
2025-07-19,天猫,猫超,极致A2精巧装200ml*10,139.0
2025-07-19,天猫,猫超,极致三代低脂纯牛奶（250ml*12）,12.0
2025-07-19,天猫,猫超,极致高品质全脂纯牛奶（250ml*16）,98.0
2025-07-19,天猫,猫超,梦幻盖极致A2β酪蛋白纯牛奶（250ml*10）,8.0
2025-07-19,天猫,猫超,梦幻盖极致有机纯牛奶（250ml*12）,24.0
2025-07-19,天猫,猫超,钻石装极致有机纯牛奶（200mL*16）,430.0
2025-07-19,新零售,新零售,200S极致有机纯牛奶200mL*10,17400.0
2025-07-19,新零售,新零售,250ML利乐砖高钙牛奶(1*20),201.0
2025-07-19,新零售,新零售,250S极致娟姗纯牛奶250mL*12,54.0
2025-07-19,新零售,新零售,250ml方巧(1*24),372.0
2025-07-19,新零售,新零售,TOB定制扁箱小福（1*16）,1307.0
2025-07-19,新零售,新零售,三元3.3g方白脱脂无菌砖(250ml*24),223.0
2025-07-19,新零售,新零售,三元利乐砖特品纯牛奶DSHB(250ml*24),2000.0
2025-07-19,新零售,新零售,小方白卡皮巴拉全脂纯牛奶（200mL*24）,1000.0
2025-07-19,新零售,新零售,极小智有机A2纯牛奶200mL*10,114.0
2025-07-19,新零售,新零售,极致A2精巧装200ml*10,234.0
2025-07-19,新零售,新零售,极致有机A2纯牛奶250mL*10,32.0
2025-07-19,新零售,新零售,极致高品质全脂纯牛奶（250ml*16）,120.0
2025-07-19,新零售,新零售,梦幻盖极致有机纯牛奶（250ml*12）,1504.0
2025-07-19,新零售,新零售,电商定制版227ml扁箱小福（1*16）,1003.0
2025-07-19,新零售,新零售,简卡原味钻酸奶200g*10,44.0
2025-07-20,拼多多,多多买菜,三元特品无菌砖纯牛奶(250ml*16）,1000.0
2025-07-20,新零售,新零售,250ml小方白(1*24),252.0
2025-07-20,新零售,新零售,250ml方巧(1*24),11.0
2025-07-20,新零售,新零售,三元利乐砖特品纯牛奶DSHB(250ml*24),187.0
2025-07-20,新零售,新零售,小方白卡皮巴拉全脂纯牛奶（200mL*24）,442.0
2025-07-20,新零售,新零售,常温版极致三代全脂纯牛奶,300.0
2025-07-20,新零售,新零售,极致A2精巧装200ml*10,78.0
2025-07-20,新零售,新零售,极致三代低脂纯牛奶（250ml*12）,124.0
2025-07-20,新零售,新零售,梦幻盖极致有机纯牛奶（250ml*12）,218.0
2025-07-20,新零售,新零售,简卡原味钻酸奶200g*10,52.0
2025-07-20,新零售,新零售,钻石包极致有机纯牛奶（200ml*21）,208.0
2025-07-21,京东,京东自营,小高钙牛奶（扁箱）（227ml*16）,1000.0
2025-07-21,拼多多,多多买菜,TOB定制小特品枕（227ml*16）,300.0
2025-07-21,拼多多,多多买菜,三元利乐砖特品纯牛奶DSHB(250ml*24),2000.0
2025-07-21,拼多多,多多买菜,冰岛式酸奶（200g*24）,300.0
2025-07-21,拼多多,多多买菜,电商定制版227ml扁箱小福（1*16）,1000.0
2025-07-21,新零售,新零售,梦幻盖极致有机纯牛奶（250ml*12）,160.0
2025-07-22,京东,京东自营,三元利乐砖特品纯牛奶DSHB(250ml*24),6000.0
2025-07-22,京东,京东自营,小方白卡皮巴拉低脂高钙牛奶（200mL*24）,10.0
2025-07-22,京东,京东自营,小方白卡皮巴拉脱脂纯牛奶（200mL*24）,20.0
2025-07-22,京东,京东自营,极致4.0高蛋白纯牛奶250mL*24,5.0
2025-07-22,京东,京东自营,极致A2精巧装16入,20.0
2025-07-22,京东,京东自营,极致A2精巧装200ml*10,90.0
2025-07-22,京东,京东自营,极致有机低脂纯牛奶（200ml*21）,510.0
2025-07-22,京东,京东自营,极致高品质全脂纯牛奶（250ml*16）,1078.0
2025-07-22,京东,京东自营,简卡原味钻酸奶200g*10,5.0
2025-07-22,京东,京东自营,钻石包极致有机纯牛奶（200ml*21）,770.0
2025-07-22,天猫,猫超,250ML利乐砖高钙牛奶(1*20),88.0
2025-07-22,天猫,猫超,250S极致娟姗纯牛奶250mL*12,54.0
2025-07-22,天猫,猫超,250ml方巧(1*24),380.0
2025-07-22,天猫,猫超,TOB定制小特品枕（227ml*16）,30.0
2025-07-22,天猫,猫超,TOB定制扁箱小福（1*16）,450.0
2025-07-22,天猫,猫超,三元3.3g方白脱脂无菌砖(250ml*24),554.0
2025-07-22,天猫,猫超,三元利乐砖特品纯牛奶DSHB(250ml*24),1495.0
2025-07-22,天猫,猫超,三元特品无菌砖纯牛奶(250ml*16）,522.0
2025-07-22,天猫,猫超,冰岛式酸奶（200g*24）,233.0
2025-07-22,天猫,猫超,小方白卡皮巴拉低脂高钙牛奶（200mL*24）,97.0
2025-07-22,天猫,猫超,小方白卡皮巴拉全脂纯牛奶（200mL*24）,580.0
2025-07-22,天猫,猫超,小方白卡皮巴拉脱脂纯牛奶（200mL*24）,630.0
2025-07-22,天猫,猫超,极小智有机A2纯牛奶200mL*10,31.0
2025-07-22,天猫,猫超,极致A2精巧装200ml*10,101.0
2025-07-22,天猫,猫超,极致三代低脂纯牛奶（250ml*12）,15.0
2025-07-22,天猫,猫超,极致晚安奶250ml*10,2.0
2025-07-22,天猫,猫超,极致有机A2纯牛奶250mL*10,19.0
2025-07-22,天猫,猫超,极致高品质全脂纯牛奶（250ml*16）,258.0
2025-07-22,天猫,猫超,梦幻盖极致1+1原生双蛋白牛奶,24.0
2025-07-22,天猫,猫超,梦幻盖极致A2β酪蛋白纯牛奶（250ml*10）,18.0
2025-07-22,天猫,猫超,梦幻盖极致有机纯牛奶（250ml*12）,159.0
2025-07-22,天猫,猫超,简卡原味钻酸奶200g*10,32.0
2025-07-22,天猫,猫超,钻石装极致有机纯牛奶（200mL*16）,245.0
2025-07-22,小程序及其他,小程序及其他,250ml方巧(1*24),100.0
2025-07-22,小程序及其他,小程序及其他,三元利乐砖特品纯牛奶DSHB(250ml*24),720.0
2025-07-22,小程序及其他,小程序及其他,极致A2精巧装200ml*10,60.0
2025-07-22,小程序及其他,小程序及其他,梦幻盖极致A2纯牛奶250ml*12,200.0
2025-07-22,新零售,新零售,200S极致有机纯牛奶200mL*10,600.0
2025-07-22,新零售,新零售,250ML利乐砖高钙牛奶(1*20),1500.0
2025-07-22,新零售,新零售,250S极致娟姗纯牛奶250mL*12,168.0
2025-07-22,新零售,新零售,250ml方巧(1*24),500.0
2025-07-22,新零售,新零售,TOB定制扁箱小福（1*16）,1767.0
2025-07-22,新零售,新零售,三元3.3g方白脱脂无菌砖(250ml*24),100.0
2025-07-22,新零售,新零售,常温版极致三代全脂纯牛奶,376.0
2025-07-22,新零售,新零售,极小智有机A2纯牛奶200mL*10,72.0
2025-07-22,新零售,新零售,极致有机A2纯牛奶250mL*10,99.0
2025-07-22,新零售,新零售,极致高品质全脂纯牛奶（250ml*16）,60.0
2025-07-22,新零售,新零售,梦幻盖极致有机纯牛奶（250ml*12）,72.0
2025-07-22,新零售,新零售,电商定制版227ml扁箱小福（1*16）,1001.0
2025-07-22,新零售,新零售,简卡原味钻酸奶200g*10,12.0
2025-07-23,京东,京东自营,250ML利乐砖高钙牛奶(1*20),447.0
2025-07-23,京东,京东自营,250ml方巧(1*24),1560.0
2025-07-23,京东,京东自营,250ml白盒纯牛奶（1*12）,67.0
2025-07-23,京东,京东自营,TOB定制小特品枕（227ml*16）,129.0
2025-07-23,京东,京东自营,TOB定制扁箱小福（1*16）,1970.0
2025-07-23,京东,京东自营,三元3.3g方白脱脂无菌砖(250ml*24),4220.0
2025-07-23,京东,京东自营,三元利乐砖特品纯牛奶DSHB(250ml*24),19580.0
2025-07-23,京东,京东自营,三元特品无菌砖纯牛奶(250ml*16）,1110.0
2025-07-23,京东,京东自营,冰岛式酸奶（200g*24）,1115.0
2025-07-23,京东,京东自营,小方白卡皮巴拉低脂高钙牛奶（200mL*24）,3134.0
2025-07-23,京东,京东自营,小方白卡皮巴拉全脂纯牛奶（200mL*24）,4650.0
2025-07-23,京东,京东自营,小方白卡皮巴拉脱脂纯牛奶（200mL*24）,1770.0
2025-07-23,京东,京东自营,常温版极致三代全脂纯牛奶,870.0
2025-07-23,京东,京东自营,极小智有机A2纯牛奶200mL*10,622.0
2025-07-23,京东,京东自营,极致4.0高蛋白纯牛奶250mL*24,1102.0
2025-07-23,京东,京东自营,极致A2精巧装16入,818.0
2025-07-23,京东,京东自营,极致A2精巧装200ml*10,255.0
2025-07-23,京东,京东自营,极致三代低脂纯牛奶（250ml*12）,125.0
2025-07-23,京东,京东自营,极致晚安奶250ml*10,30.0
2025-07-23,京东,京东自营,极致有机A2纯牛奶250mL*10,176.0
2025-07-23,京东,京东自营,极致有机低脂纯牛奶（200ml*21）,1365.0
2025-07-23,京东,京东自营,极致高品质全脂纯牛奶（250ml*16）,3625.0
2025-07-23,京东,京东自营,梦幻盖极致1+1原生双蛋白牛奶,59.0
2025-07-23,京东,京东自营,梦幻盖极致A2β酪蛋白纯牛奶（250ml*10）,338.0
2025-07-23,京东,京东自营,梦幻盖极致A2纯牛奶250ml*12,16.0
2025-07-23,京东,京东自营,梦幻盖极致娟姗纯牛奶（250ml*10）,74.0
2025-07-23,京东,京东自营,梦幻盖极致有机纯牛奶（250ml*12）,373.0
2025-07-23,京东,京东自营,电商定制版227ml扁箱小福（1*16）,80.0
2025-07-23,京东,京东自营,简卡原味钻酸奶200g*10,255.0
2025-07-23,京东,京东自营,钻石包极致有机纯牛奶（200ml*21）,8480.0
2025-07-23,小程序及其他,小程序及其他,三元利乐砖特品纯牛奶DSHB(250ml*24),720.0
2025-07-23,小程序及其他,小程序及其他,极致A2精巧装200ml*10,180.0
2025-07-23,小程序及其他,小程序及其他,梦幻盖极致A2纯牛奶250ml*12,200.0
2025-07-23,新零售,新零售,250S极致娟姗纯牛奶250mL*12,24.0
2025-07-23,新零售,新零售,250ml方巧(1*24),26.0
2025-07-23,新零售,新零售,TOB定制扁箱小福（1*16）,600.0
2025-07-23,新零售,新零售,三元3.3g方白脱脂无菌砖(250ml*24),134.0
