日期,部门,平台,子平台,成交金额,目标金额
2026/5/13,低温,抖音,抖音,18.64,18.38
2026/5/13,低温,京东,pop,1.28,1.28
2026/5/13,低温,京东,自营,22.49,22.49
2026/5/13,低温,天猫,猫旗,3.83,3.83
2026/5/13,低温,天猫,猫超,0.44,0.42
2026/5/13,低温,拼多多,拼多多,3.15,3.2
2026/5/14,低温,抖音,抖音,9.54,7.54
2026/5/14,低温,京东,pop,1.59,1.59
2026/5/14,低温,京东,自营,13.89,13.89
2026/5/14,低温,天猫,猫旗,3.65,3.65
2026/5/14,低温,天猫,猫超,0.39,0.38
2026/5/14,低温,拼多多,拼多多,3.39,3.4
2026/5/15,低温,抖音,抖音,15.86,8.58
2026/5/15,低温,京东,pop,1.71,1.71
2026/5/15,低温,京东,自营,13.6,13.6
2026/5/15,低温,天猫,猫旗,3.96,3.96
2026/5/15,低温,天猫,猫超,0.43,0.41
2026/5/15,低温,拼多多,拼多多,3.19,3.2
2026/5/16,低温,抖音,抖音,19.39,16.36
2026/5/16,低温,京东,pop,1.73,1.73
2026/5/16,低温,京东,自营,8.17,8.17
2026/5/16,低温,天猫,猫旗,2.9,2.9
2026/5/16,低温,天猫,猫超,0.42,0.37
2026/5/16,低温,拼多多,拼多多,3.34,3.3
2026/5/17,低温,抖音,抖音,20.95,20.94
2026/5/17,低温,京东,pop,1.84,1.84
2026/5/17,低温,京东,自营,9.16,9.16
2026/5/17,低温,天猫,猫旗,2.83,2.83
2026/5/17,低温,天猫,猫超,0.48,0.41
2026/5/17,低温,拼多多,拼多多,3.84,3.8
2026/5/18,低温,抖音,抖音,6.83,5.82
2026/5/18,低温,京东,pop,1.63,1.63
2026/5/18,低温,京东,自营,9.02,9.02
2026/5/18,低温,天猫,猫旗,3.18,3.18
2026/5/18,低温,天猫,猫超,0.5,0.48
2026/5/18,低温,拼多多,拼多多,4.1,4.1
2026/5/19,低温,抖音,抖音,6.68,5.86
2026/5/19,低温,京东,pop,2.58,2.58
2026/5/19,低温,京东,自营,14.9,14.9
2026/5/19,低温,天猫,猫旗,2.77,2.77
2026/5/19,低温,天猫,猫超,0.44,0.38
2026/5/19,低温,拼多多,拼多多,3.95,4.0
2026/5/20,低温,抖音,抖音,6.59,6.48
2026/5/20,低温,京东,pop,2.22,2.22
2026/5/20,低温,京东,自营,14.31,14.31
2026/5/20,低温,天猫,猫旗,2.41,2.41
2026/5/20,低温,天猫,猫超,0.49,0.48
2026/5/20,低温,拼多多,拼多多,3.64,3.6
2026/5/21,低温,抖音,抖音,5.28,4.18
2026/5/21,低温,京东,pop,1.24,1.24
2026/5/21,低温,京东,自营,19.62,19.62
2026/5/21,低温,天猫,猫旗,3.31,3.31
2026/5/21,低温,天猫,猫超,0.54,0.5
2026/5/21,低温,拼多多,拼多多,3.09,3.1
2026/5/22,低温,抖音,抖音,3.29,3.03
2026/5/22,低温,京东,pop,1.29,1.29
2026/5/22,低温,京东,自营,17.14,17.14
2026/5/22,低温,天猫,猫旗,15.08,15.08
2026/5/22,低温,天猫,猫超,0.38,0.34
2026/5/22,低温,拼多多,拼多多,3.82,3.8
2026/5/23,低温,抖音,抖音,6.58,5.66
2026/5/23,低温,京东,pop,1.52,1.52
2026/5/23,低温,京东,自营,10.95,10.95
2026/5/23,低温,天猫,猫旗,5.65,5.65
2026/5/23,低温,天猫,猫超,0.49,0.44
2026/5/23,低温,拼多多,拼多多,4.08,4.1
2026/5/24,低温,抖音,抖音,4.69,2.86
2026/5/24,低温,京东,pop,1.31,1.31
2026/5/24,低温,京东,自营,12.58,12.58
2026/5/24,低温,天猫,猫旗,3.92,3.92
2026/5/24,低温,天猫,猫超,0.71,0.67
2026/5/24,低温,拼多多,拼多多,3.74,3.7
2026/5/25,低温,抖音,抖音,4.69,2.91
2026/5/25,低温,京东,pop,1.66,1.66
2026/5/25,低温,京东,自营,10.39,10.39
2026/5/25,低温,天猫,猫旗,15.29,15.29
2026/5/25,低温,天猫,猫超,0.57,0.51
2026/5/25,低温,拼多多,拼多多,2.85,2.9
2026/5/26,低温,抖音,抖音,19.59,17.84
2026/5/26,低温,京东,pop,1.75,1.75
2026/5/26,低温,京东,自营,10.67,10.67
2026/5/26,低温,天猫,猫旗,4.13,4.13
2026/5/26,低温,天猫,猫超,0.55,0.47
2026/5/26,低温,拼多多,拼多多,3.61,3.6
2026/5/27,低温,抖音,抖音,9.51,8.9
2026/5/27,低温,京东,pop,1.37,1.7
2026/5/27,低温,京东,自营,24.8,13.9
2026/5/27,低温,天猫,猫旗,18.1,18.1
